Authors,Dates
"['Giblett E R', 'Anderson J E', 'Lewis M', 'Kaita H']",1975-1-1
"['McDougall J K', 'Elsevier S M', 'Kucherlapati R S', 'Ruddle F H']",1975-1-1
"['Satlin A', 'Kucherlapati R', 'Ruddle F H']",1975-1-1
"['Manning J E', 'Hershey N D', 'Broker T R', 'Pellegrini M', 'Mitchell H K', 'Davidson N']",1975-11-24
"['Pevzner I', 'Nordskog A W', 'Kaeberle M L']",1975-8-1
"['Ikeda H', 'Rowe W P', 'Boyse E A', 'Stockert E', 'Sato H', 'Jacobs S']",1976-1-1
"['Bächi B', 'Kornberg H L']",1975-10-1
"['Marshak M I', 'Varshaver N B', 'Shapiro N I']",1975-12-1
"['Hayward G S', 'Jacob R J', 'Wadsworth S C', 'Roizman B']",1975-11-1
"['Tenen D G', 'Baygell P', 'Livingston D M']",1975-11-1
"['Suzumori K', 'Yagami Y']",1975-12-1
"['Vase P', 'Prytz S', 'Pedersen P S']",1975-11-1
"['Tedesco T A', 'Miller K L', 'Rawnsley B E', 'Mennuti M T', 'Spielman R S', 'Mellman W J']",1975-11-1
"['Thörig E W', 'Schoone A A', 'Scharloo W']",1975-10-1
"['Liebig H', 'Grafe A', 'Pfetzing H']",1975-11-1
"['Elsevier S M', 'Kucherlapati R S', 'Nichols E A', 'Willecke K', 'Creagan R P', 'Giles R E', 'McDougall J K', 'Ruddle F H']",1975-1-1
"['Giblett E R', 'Anderson J E', 'Lewis M', 'Kaita H']",1975-1-1
"['McDougall J K', 'Elsevier S M', 'Kucherlapati R S', 'Ruddle F H']",1975-1-1
"['Berg K', 'Beckman G', 'Beckman L']",1975-1-1
"['Burgerhout W G', 'Jongsma A P', 'de Wit J', 'van Someren H', 'Meera Khan P']",1975-1-1
"['Kano S', 'Bloom B R', 'Shreffler D C', 'Schendel D', 'Bach F H']",1975-12-1
"['Yang R C', 'Van de Voorde A', 'Fiers W']",1976-1-2
"['Yang R C', 'Van de Voorde A', 'Fiers W']",1976-1-2
"['Slonimski P P', 'Tzagoloff A']",1976-1-2
"['Graessmann A', 'Graessmann M', 'Bobrik R', 'Hoffmann E', 'Lauppe F', 'Mueller C']",1976-1-1
"['Sherman F', 'Jackson M', 'Liebman S W', 'Schweingruber A M', 'Stewart J W']",1975-9-1
"['Low P A', 'McLeod J G']",1975-12-1
"['Wang L H', 'Duesberg P H', 'Kawai S', 'Hanafusa H']",1976-2-1
"['Larget-Piet L', 'Le Lirzin R', 'Berthelot J', 'Larget-Piet A', 'Rouchy R']",1975-4-8
"['Trosko J E', 'Chu E H']",1975-1-1
"['Saadi A A', 'Juliar J F', 'Harm J', 'Brough A J', 'Perrin E V', 'Chen H']",1976-1-1
"['Heiberg A', 'Berg K']",1976-2-1
['Monif G R'],1975-12-1
"['Lawrence C W', 'Sherman F', 'Jackson M', 'Gilmore R A']",1975-12-1
"['Kutter E', 'Beug A', 'Sluss R', 'Jensen L', 'Bradley D']",1975-12-25
"['Brewen J G', 'Payne H S', 'Jones K P', 'Preston R J']",1975-12-1
"['Dobosz T', 'Halasa J', 'Schlesinger D']",1975-1-1
['Shapiro N I'],1975-1-1
['Brug E'],1975-1-1
"['Morganti G', 'Beolchini P B', 'Bütler R', 'Bütler-Brunner E', 'Vierucci A']",1975-12-23
"['van Nie R', 'Hilgers J']",1976-1-1
"['Yoon J W', 'Kim S N', 'Hahn E C', 'Kenyon A J']",1976-4-1
"['Vogt M', 'Bacheler L T', 'Boice L']",1976-3-1
"['Khoury G', 'Carter B J', 'Ferdinand F J', 'Howley P M', 'Brown M', 'Martin M A']",1976-3-1
"['Chen M', 'Lebowitz J', 'Salzman N P']",1976-4-1
"['Collins J J', 'Destree A T', 'Marshall C J', 'Bernstein A', 'Macpherson I A']",1976-1-1
"['Wolpert R', 'Leuchter S', 'Schmidt M']",1976-3-1
"['Bruns G A', 'Gerald P S']",1976-4-2
['Farrell G C'],1976-1-31
"['Holm K', 'Nilheden E', 'Kolmark H G']",1976-2-27
"['Landing B H', 'Gwinn J L', 'Lieberman E']",1976-1-1
"['Wang L H', 'Duesberg P', 'Mellon P', 'Vogt P K']",1976-4-1
"['Gissmann L', 'zur Hausen H']",1976-4-1
"['Sablina O V', ""Ramul' N Iu""]",1975-1-1
"['Marshak M I', 'Massino Iu S']",1975-1-1
"['Kadpakova E S', 'Pogosiants E E']",1976-1-1
"['Mondovano J A', 'Gaensslen R E']",1975-1-1
"['Brandriss M C', 'Stewart J W', 'Sherman F', 'Botstein D']",1976-4-15
"['Parks W P', 'Howk R S', 'Anisowicz A', 'Scolnick E M']",1976-5-1
"['Shenk T E', 'Carbon J', 'Berg P']",1976-5-1
"['Shishido K', 'Berg P']",1976-5-1
"['Miller L K', 'Fried M']",1976-6-1
"['Corwin H O', 'Hanratty W P']",1976-3-30
"['Türler H', 'Salomon C', 'Allet B', 'Weil R']",1976-5-1
"['Abraham G', 'Banerjee A K']",1976-5-1
"['Shoyab M', 'Dastoor M N', 'Baluda M A']",1976-5-1
"['Theodoropoulos G', 'Fertakis A', 'Archimandritis A', 'Kapordelis C', 'Angelopoulos B']",1976-4-1
['Heston W E'],1976-1-1
"['Billeter M A', 'Coffin J M', 'Joho R', 'Weissmann C']",1976-1-1
['Nowinski R C'],1976-4-1
"['Glansdorff N', 'Dambly C', 'Palchaudhuri S', 'Crabeel M', 'Piérard A', 'Halleux P']",1976-7-1
['Raetz C R'],1976-6-10
"['Nowinski R C', 'Doyle T']",1976-7-1
"['Epstein L B', 'Epstein C J']",1976-6-1
"['Stockert E', 'Boyse E A', 'Sato H', 'Itakura K']",1976-6-1
['Pani P K'],1976-1-1
"['Narsinghani V G', 'Kumar S']",1976-4-1
['Vassilopoulos D'],1976-1-1
"['Ganesan J', 'Lie-Injo L E', 'Ong Beng P']",1976-1-1
"['Reyes O', 'Gottesman M', 'Adhya S']",1976-6-1
"['Timbury M C', 'Calder L']",1976-2-1
"['Denis-Duphil M', 'Kaplan J G']",1976-6-15
"['Povey S', 'Slaughter C A', 'Wilson D E', 'Gormley I P', 'Buckton K E', 'Perry P', 'Bobrow M']",1976-5-1
['Sobell H M'],1976-1-1
"['Kopnin B P', 'Stavrovskaia A A']",1975-1-1
"['Sokova O I', 'Volgareva G M', 'Pogosiants E E']",1976-1-1
['Wiebecke D'],1976-8-15
"['Rozenblatt S', 'Mulligan R C', 'Gorecki M', 'Roberts B E', 'Rich A']",1976-8-1
"['Matell G', 'Bergström K', 'Franksson C', 'Hammarström L', 'Lefvert A K', 'Möller E', 'von Reis G', 'Smith E']",1976-1-1
"['Baranov O K', 'Savina M A', 'Belyaev D K']",1976-4-1
"['Ferguson-Smith M A', 'Aitken D A', 'Turleau C', 'de Grouchy J']",1976-9-10
"['Kedziora J', 'Rozynkowa D', 'Kopff M', 'Jeske J']",1976-9-10
['Nathans D'],1976-9-1
"['Brewen J G', 'Payne H S']",1976-10-1
['Bolande R P'],1976-1-1
"['Miller L K', 'Cooke B E', 'Fried M']",1976-9-1
"['Kovi E', 'Morris H P']",1976-1-1
"['Steiner W W', 'Sung K C', 'Paik Y K']",1976-6-1
"['Botchan M', 'Topp W', 'Sambrook J']",1976-10-1
['Walton J'],1976-11-1
['Platt M'],1976-11-1
"['Busby N', 'Courval J', 'Francke U']",1976-1-1
['Grzeschik K H'],1976-1-1
"['Hopkinson D A', 'Povey S', 'Solomon E', 'Bobrow M', 'Gormley I P']",1976-1-1
"['Khoury G', 'Croce C M']",1976-1-1
"['Klobutcher L A', 'Nichols E A', 'Kucherlapati R S', 'Ruddle F H']",1976-1-1
"['McDougall J K', 'Gallimore P H', 'Dunn A R', 'Webb T P', 'Kucherlapati R S', 'Nichols E A', 'Ruddle F H']",1976-1-1
"['Povey S', 'Slaughter C A', 'Wilson D E', 'Buckton K', 'Gormley I P', 'Perry P']",1976-1-1
"['Shows T B', 'Brown J A']",1976-1-1
"['Van Cong N', 'Weil D', 'Finaz C', 'Cochet C', 'Rebourcet R', 'De Grouchy J', 'Frézal J']",1976-1-1
"['Van Heyningen V', 'Koprowski H', 'Croce C M']",1976-1-1
"['Westerveld A', 'Jongsma A P', 'Meera Khan P', 'van Someren H', 'Bootsma D']",1976-1-1
"['Ferguson-Smith M A', 'Aitken D A']",1976-1-1
"['Chan T S', 'Creagan R P']",1976-1-1
"['Meera Khan P', 'Pearson P L', 'Wijnen L L', 'Doppert B A', 'Westerveld A', 'Bootsma D']",1976-1-1
"['Orkwiszewski K G', 'Tedesco T A', 'Mellman W J', 'Croce C M']",1976-1-1
"['Abdelal A T', 'Griego E', 'Ingraham J L']",1976-10-1
"['Vergnes H', 'Cabannes R']",1976-9-1
['Gilot-Delhalle J'],1976-1-1
[],1976-1-1
['Witkop C J'],1976-12-1
"['Cordaro J C', 'Melton T', 'Stratis J P', 'Atagün M', 'Gladding C', 'Hartman P E', 'Roseman S']",1976-12-1
['Merrick M J'],1976-10-1
"['Wang L', 'Galehouse D', 'Mellon P', 'Duesberg P', 'Mason W S', 'Vogt P K']",1976-11-1
"['Feunteun J', 'Sompayrac L', 'Fluck M', 'Benjamin T']",1976-11-1
['Zachmann M'],1976-9-4
"['Fraser D', 'Scriver C R']",1976-11-1
"['Rowlands D T', 'Hill G S', 'Zmijewski C M']",1976-12-1
"['Postma P W', 'Roseman S']",1976-12-14
['Klein G'],1976-7-1
"['Beighton P', 'Davidson J', 'Durr L', 'Hamersma H']",1977-1-1
"['Parkash R', 'Miglani G S']",1976-9-1
"['Saenger P', 'Levine L S', 'Wachtel S S', 'Korth-Schutz S', 'Doberne Y', 'Koo G C', 'Lavengood R W', 'German J L', 'New M I']",1976-12-1
"['Lescure B', 'Oudet P', 'Chambon P', 'Yaniv M']",1976-11-1
['Vriend J'],1976-11-1
"['Makoff A J', 'Radford A']",1976-8-2
"['Perrotez C', 'Bilski-Pasquier G']",1976-12-1
"['Vassilakos P', 'Riotton G', 'Kajii T']",1977-1-15
"['Rapacz J', 'Hasler-Rapacz J', 'Kuo W H', 'Li D']",1976-1-1
"['Andresen E', 'Rapacz J', 'Hasler-Rapacz J']",1976-1-1
"['Duesberg P H', 'Wang L H', 'Beemon K', 'Kawai S', 'Hanafusa H']",1976-1-1
"['Mullen V T', 'Barnett C A']",1976-9-1
"['Ben-Bassat H', 'Goldblum N', 'Mitrani S', 'Goldblum T', 'Yoffey J M', 'Cohen M M', 'Bentwich Z', 'Ramot B', 'Klein E', 'Klein G']",1977-1-1
"['Levan G', 'Mitelman F']",1976-1-1
"['Sakaguchi K', 'Tsujino M', 'Hayashi M', 'Kawai K', 'Mizuno K', 'Hayano K']",1976-12-1
"['Subramanian K N', 'Dhar R', 'Weissman S M']",1977-1-10
"['Knowles B B', 'Solter D', 'Trinchieri G', 'Maloney K M', 'Ford S R', 'Aden D P']",1977-2-1
['Park W W'],1976-10-1
"['Greenblatt J F', 'Allet B', 'Weil R', 'Ahmad-Zadeh C']",1976-12-1
"['Kovi J', 'Morris H P', 'Kovi E']",1977-2-1
"['Jenssen D', 'Ramel C']",1976-12-1
['Takahashi M'],1977-1-1
['Cordaro C'],1976-1-1
['Schaffer P A'],1975-1-1
"['Macek M', 'Kutinová L', 'Vonka V', 'Jenik S']",1975-1-1
"['Jarvis J E', 'Ball G', 'Rickinson A B', 'Epstein M A']",1975-1-1
['Postma P W'],1977-2-1
"['Colomé J', 'Wilcox G', 'Englesberg E']",1977-2-1
"['Pettengill O S', 'Faulkner C S', 'Wurster-Hill D H', 'Maurer L H', 'Sorenson G D', 'Robinson A G', 'Zimmerman E A']",1977-3-1
['Smith D W'],1977-1-1
"['Robinson K', 'Bey E', 'Alexander J J', 'Gear J H']",1976-1-1
"['Skare J', 'Summers W C']",1977-2-1
['Ediden M'],1975-1-1
"['Palakavongs P', 'Teichberg S', 'Vinciguerra V', 'Degnan T J', 'Sinlaratana P']",1977-4-1
"['Webb T', 'Harnden D G', 'Harding M']",1977-4-1
"['Osato T', 'Mizuno F', 'Yamamoto K', 'Nonoyama M']",1975-1-1
['Boyse E A'],1977-1-1
"['Van Nie R', 'Verstraeten A A', 'De Moes J']",1977-3-15
"['Geder L', 'Kreider J', 'Rapp F']",1977-4-1
"['Rasheed S', 'Gardner M B', 'Rongey R W', 'Nelson-Rees W A', 'Arnstein P']",1977-4-1
"['Tralka T S', 'Costa J', 'Sindelar W F', 'Rabson A', 'Gullino P M', 'Henson E', 'Chu E W', ""O'Conor G T""]",1977-4-1
"['Favre M', 'Orth G', 'Croissant O', 'Yaniv M']",1977-3-1
['Goldstein L S'],1977-1-1
['Tanooka H'],1977-1-1
"['Soyfer V N', 'Krausse G V', 'Pokrovskaya A A', 'Yakovleva N I']",1977-1-1
"['May E', 'Maizel J V', 'Salzman N P']",1977-2-1
"['Parker R C', 'Watson R M', 'Vinograd J']",1977-3-1
"['Fried M', 'Griffin B E']",1977-1-1
['Vogt P K'],1976-1-1
"['Burgerhout W G', 'Jongsma A P']",1976-1-1
"['Coullin P', 'Boué A', 'Cong N V', 'Weil D', 'Rebourcet ', 'Frézal J']",1976-1-1
['Grzeschik K H'],1976-1-1
"['Khoury G', 'Croce C M']",1976-1-1
"['Klobutcher L A', 'Nichols E A', 'Kucherlapati R S', 'Ruddle F H']",1976-1-1
"['McDogall J K', 'Gallimore P H', 'Dunn A R', 'Webb T P', 'Kucherlapati R S', 'Nichols E A', 'Ruddle F H']",1976-1-1
"['Povey S', 'Slaughter C A', 'Wilson D E', 'Buckton K', 'Gormley I P', 'Perry P']",1976-1-1
"['Shows T B', 'Brown J A']",1976-1-1
"['Cong N V', 'Weil D', 'Finaz C', 'Cochet C', 'Rebourcet R', 'Grouchy J', 'Frézal J']",1976-1-1
"['Heyningen V V', 'Koprowski H', 'Croce C M']",1976-1-1
"['Westerveld A', 'Jongsma A P', 'Meera Khan P', 'Someren H', 'Bootsma D']",1976-1-1
"['Cook P J', 'Buckton K E', 'Spowart G']",1976-1-1
"['Chan T S', 'Creagan R P']",1976-1-1
"['Orkwiszewski K G', 'Tedesco T A', 'Mellman W J', 'Croce C M']",1976-1-1
"['Lubiniecki A S', 'Blattner W A', 'Fraumeni J F']",1977-5-1
"['Rundle A', 'Sudell B', 'Wood K', 'Coppen A']",1977-4-15
"['Kousseff B G', 'Hsu L Y', 'Paciuc S', 'Hirschhorn K']",1977-4-1
"['Zuna R E', 'Lehman J M']",1977-5-1
['Bacheler L T'],1977-4-1
"['Lubiniecki A S', 'Costa J', 'Rabson A S']",1977-4-1
['Eckhart W'],1977-4-1
"['Tsuji T', 'Weissmann J']",1977-3-23
"['Kelly T J', 'Nathans D']",1977-1-1
"['Laziuk G I', ""Lur'e I V"", 'Cherstvoĭ E D']",1977-1-1
['Michelson A M'],1976-1-1
"['Kiger J A', 'Golanty E']",1977-4-1
['Kiger J A'],1977-4-1
"['Colonno R J', 'Lazzarini R A', 'Keene J D', 'Banerjee A K']",1977-5-1
"['Kamine J', 'Buchanan J M']",1977-5-1
"['Hsie A W', 'Brimer P A', 'Mitchell T J', 'Gosslee D G']",1975-7-1
"['Ozer H L', 'Jha K K']",1977-1-1
"['Tedesco T A', 'Miller K L', 'Rawnsley B E', 'Adams M C', 'Markus H B', 'Orkwiszewski K G', 'Mellman W J']",1977-5-1
"['Hiraki S', 'Miyoshi I', 'Masuji H', 'Kubonishi I', 'Matsuda Y']",1977-7-1
"['Vierucci A', 'Bougleux T', 'Bettini F', 'Biadaioli R', 'Monterisi N', 'Rossi R']",1977-4-14
"['Chen S', 'McDougall J K', 'Creagan R P', 'Lewis V', 'Ruddle F H']",1976-5-1
"['Chen S H', 'Anderson J E', 'Giblett E R']",1977-7-1
"['Abou-Sabé M', 'Ratner P L']",1977-6-17
"['Ohara H', 'Okamoto T']",1977-9-1
"['Ishizaki K', 'Omoto K', 'Sekiguchi T']",1977-6-30
"['McCahon D', 'Slade W R', 'Priston R A', 'Lake J R']",1977-6-1
"['Beemon K', 'Keith J']",1977-6-15
"['Taylor B A', 'Bedigian H G', 'Meier H']",1977-7-1
"['Howley P M', 'Martin M A']",1977-7-1
"['Bubbers J E', 'Blank K J', 'Freedman H A', 'Lilly F']",1977-1-1
"[""Tol'skaia E A"", 'Kolesnikova M S']",1977-1-1
['Guidotti G G'],1977-1-1
"['Hewick R M', 'Waterfield M D', 'Miller L K', 'Fried M']",1977-6-1
"['Shows T B', 'Brown J A']",1977-1-1
"['McBreen P', 'Orkwiszewski K G', 'Chern C J', 'Mellman W J', 'Croce C M']",1977-1-1
['Myant N B'],1977-1-1
"['Donner L', 'Dubbs D R', 'Kit S']",1977-8-15
"['Lonai P', 'Haran-Ghera N']",1977-10-1
"['Rosenfeld C', 'Goutner A', 'Choquet C', 'Venuat A M', 'Kayibanda B', 'Pico J L', 'Greaves M F']",1977-6-30
"['Miyoshi I', 'Hiraki S', 'Tsubota T', 'Kubonishi I', 'Matsuda Y', 'Nakayama T', 'Kishimoto H', 'Kimura I', 'Masuji H']",1977-6-30
['Puck T T'],1977-1-1
"['Lemons R S', ""O'Brien S J"", 'Sherr C J']",1977-9-1
"['Francke U', 'Lalley P A', 'Moss W', 'Ivy J', 'Minna J D']",1977-1-1
['Damstra T'],1977-8-1
"['Willich E', 'Fuhr U', 'Kroll W']",1977-8-1
"['Ranzani G', 'Bertolotti E', 'Santachiara-Benerecetti A S']",1977-1-1
"['Beretta M', 'Barberio C', 'Ranzani G', 'Bertolotti E G']",1977-1-1
"['Lefèvre-Witier P', 'Vergnes H']",1977-1-1
"['Morse L S', 'Buchman T G', 'Roizman B', 'Schaffer P A']",1977-10-1
"['Cole C N', 'Landers T', 'Goff S P', 'Manteuil-Brutlag S', 'Berg P']",1977-10-1
['Wilson J H'],1977-8-1
['Gelman M I'],1977-11-1
"['Gorlin R J', 'Glass L']",1977-11-1
"['Epstein M A', 'Achong B G']",1977-1-1
['Ehling U H'],1977-9-21
"['Kato H', 'Sandberg A A']",1977-10-15
"['Shvetsova T P', 'Lomanova G A', 'Dzagurov S G', 'Shalunova N V', 'Andronova A V']",1977-1-1
['Pukkila P J'],1977-10-1
"['Yamamori T', 'Ito K', 'Yura T', 'Suzuki T', 'Iino T']",1977-10-1
"['Utermann G', 'Hees M', 'Steinmetz A']",1977-10-13
"['Robson E B', 'Cook P J', 'Buckton K E']",1977-7-1
['Herrmann J'],1977-1-1
"['Armstrong G D', 'Yamazaki H']",1977-10-1
"['Hillman E A', 'Charamella L J', 'Temple M J', 'Elser J E']",1977-12-1
['Ohnishi O'],1977-11-1
['Pathak S N'],1977-7-1
['Kinsey J A'],1977-12-1
"['Gaucher A', 'Pourel J', 'Faure G', 'Netter P', 'Peterschmitt J', 'Cromer R']",1977-10-1
"['Webb T', 'Harding M']",1977-11-1
"['Miyoshi I', 'Hiraki S', 'Kubonishi I', 'Matsuda Y', 'Kishimoto H', 'Nakayama T', 'Tanaka T', 'Masuji H', 'Kimura I']",1977-12-1
"['Mulvihill J J', 'Gralnick H R', 'Whang-Peng J', 'Leventhal B G']",1977-12-1
"['Iwaya M', 'Jones C W', 'Khorana J', 'Strominger J L']",1978-1-1
"['Caine A', 'Lyon M F']",1977-12-1
"['Steel C M', 'Woodward M A', 'Davidson C', 'Philipson J', 'Arthur E']",1977-11-24
"['Theodoropoulos G', 'Rigatos G', 'Babionitakis A', 'Archimandritis A', 'Fertakis A', 'Melissinos K']",1977-11-10
"['Goh K O', 'Bakemeier R F']",1978-1-1
"['Watson J', 'Kelly K', 'Largen M', 'Taylor B A']",1978-2-1
"['Galehouse D M', 'Duesberg P H']",1978-1-1
"['Bjursell G', 'Skoog L', 'Thelander L', 'Söderman G']",1977-12-1
"['Lavi S', 'Groner Y']",1977-12-1
"['Ferdinand F J', 'Brown M', 'Khoury G']",1977-12-1
"['Harousseau J L', 'Smadja N', 'Krulik M', 'Audebert A A', 'Debray J']",1977-12-9
"['Paty D W', 'Cousin H K', 'Stiller C R', 'Boucher D W', 'Furesz J', 'Warren K G', 'Marchuk L', 'Dossetor J B']",1977-12-1
"['Bławat F', 'Towiańska A', 'Dabrowski J', 'Kubica B']",1977-1-1
['Rüdiger H W'],1978-1-13
"['Foster J W', 'Moat A G']",1978-2-1
"['Downie J A', 'Stewart J W', 'Sherman F']",1977-12-5
"['Datta R K', 'Sengupta K', 'Das S K']",1978-1-1
"['Kaplan J C', 'Zamansky G B', 'Black P H']",1978-2-16
"['Crawford L V', 'Cole C N', 'Smith A E', 'Paucha E', 'Tegtmeyer P', 'Rundell K', 'Berg P']",1978-1-1
"['Rommelaere J', 'Faller D V', 'Hopkins N']",1978-1-1
"['Kozak C', 'Rowe W P']",1978-3-31
"['Kozak C A', 'Ruddle F H']",1977-3-1
"['Chan T S', 'Creagan R P', 'Reardon M P']",1978-1-1
"['Raffoux C', 'Pointel J P', 'Drouin P', 'Streiff F', 'Debry G', 'Sauvanet J P']",1978-1-1
"['Sitzmann F C', 'Istvan L', 'Teubl I', 'Kaloud H', 'Cholnoky P']",1978-1-6
"['Cook P J', 'Robson E B', 'Buckton K E', 'Slaughter C A', 'Gray J E', 'Blank C E', 'James F E', 'Ridler M A', 'Insley J', 'Hultén M']",1978-1-1
"['Feldman M Y', 'Balabanova H']",1978-4-1
"['Sodja A', 'Davidson N']",1978-2-1
"['Nachtigal M', 'Rogoz I']",1978-1-1
"['Constantinescu O', 'Sahnazarov N', 'Muţiu A']",1978-1-1
['Newell P C'],1978-1-1
"['Lo E K', 'Coukell M B', 'Tsang A S', 'Pickering J L']",1978-4-1
"['Nichols W W', 'Bradt C I', 'Toji L H', 'Godley M', 'Segawa M']",1978-4-1
"['Lazarus H', 'Barell E F', 'Krishan A', 'Livingston D M', 'Harris K', 'Schlossman S F', 'Chess L']",1978-5-1
"['Lusis A J', 'West J D']",1978-2-1
"['Simmons M J', 'Sheldon E W', 'Crow J F']",1978-3-1
"['Zain B S', 'Roberts R J']",1978-3-25
['van Zeeland A A'],1978-4-1
"['Reddy V B', 'Thimmappaya B', 'Dhar R', 'Subramanian K N', 'Zain B S', 'Pan J', 'Ghosh P K', 'Celma M L', 'Weissman S M']",1978-5-5
"['Leinwand L', 'Fournier R E', 'Nichols E A', 'Ruddle F H']",1978-1-1
"['Parshchikova L S', 'Reĭderman M I']",1977-1-1
"['George D L', 'Francke U']",1978-1-1
"['Raetz C R', 'Newman K F']",1978-6-10
"['Newman B M', 'Cole J A']",1978-5-1
"['Berk A J', 'Sharp P A']",1978-3-1
"['Krzyzek R A', 'Collett M S', 'Lau A F', 'Perdue M L', 'Leis J P', 'Faras A J']",1978-3-1
"['Sherman F', 'Stewart J W', 'Helms C', 'Downie J A']",1978-3-1
"['Gallango M L', 'Suinaga R']",1978-3-1
"['Purtilo D T', 'Paquin L', 'Gindhart T']",1978-6-1
['Raposa T'],1978-5-1
['Dina D'],1978-6-1
"['Vague J', 'Guidon J']",1977-10-23
"['Ihle J N', 'Joseph D R']",1978-6-15
['Hirschfeld J'],1978-7-1
"['Davis R L', 'Kiger J A']",1978-4-28
"['Rafferty K A', 'Ruben R L', 'Young S K']",1978-2-1
"['Banerjee J', 'Hazra S K', 'Sen S K']",1978-6-1
"['Ray J H', 'Altenburg L C', 'Jacobs M M']",1978-7-1
"['Pfizenmaier K', 'Trinchieri G', 'Solter D', 'Knowles B B']",1978-8-17
['Spratt B G'],1978-8-17
"['Shank P R', 'Cohen J C', 'Varmus H E', 'Yamamoto K R', 'Ringold G M']",1978-5-1
"['Yang R C', 'Wu R']",1978-5-1
"['Paucha E', 'Mellor A', 'Harvey R', 'Smith A E', 'Hewick R M', 'Waterfield M D']",1978-5-1
"['Bouck N', 'Beales N', 'Shenk T', 'Berg P', 'di Mayorca G']",1978-5-1
"['Spielman R S', 'Harris H', 'Melliman W J', 'Gershowitz H']",1978-5-1
"['Cotton-Menzi B', 'Würgler F E', 'Graf U']",1976-1-1
"['Aloni Y', 'Bratosin S', 'Dhar R', 'Laub O', 'Horowitz M', 'Khoury G']",1978-1-1
"['Hsu M T', 'Ford J']",1978-1-1
"['Wertz G F', 'Ficsor G']",1978-4-1
"['Banerjee J', 'Hazra S K', 'Sen S K']",1978-3-1
"['Kovi J', 'Kovi E', 'Morris H P', 'Rao M S']",1978-8-1
"['Aquirre G', 'Farber D', 'Lolley R', 'Fletcher R T', 'Chader G J']",1978-9-22
"['Dexter D L', 'Kowalski H M', 'Blazar B A', 'Fligiel Z', 'Vogel R', 'Heppner G H']",1978-10-1
"['Miller R C', 'Hill R B', 'Nichols W W', 'Meadows A T']",1978-10-1
"['Rabin H', 'Neubauer R H', 'Gonda M A', 'Nelson-Rees W A', 'Charman H P', 'Valerio M G']",1978-10-1
"['Hamburger A W', 'Salmon S E', 'Kim M B', 'Trent J M', 'Soehnlen B J', 'Alberts D S', 'Schmidt H J']",1978-10-1
['Utermann G'],1978-8-1
"['Shaw E I', 'Hsie A W']",1978-8-1
"['Haegeman G', 'Fiers W']",1978-5-4
"['Koshiba H', 'Kimura O', 'Nakata M', 'Witkop C J']",1978-9-1
"['Wu C F', 'Ganetzky B', 'Jan L Y', 'Jan Y N', 'Benzer S']",1978-8-1
['Cooper R A'],1978-8-1
"['Fisher E R', 'Paulson J D']",1978-11-1
"['Séger J', 'Tchen P', 'Feingold N', 'Grenand F', 'Bois E']",1978-9-19
"['Ruddle N H', 'Conta B S', 'Leinwand L', 'Kozak C', 'Ruddle F', 'Besmer P', 'Baltimore D']",1978-8-1
"['Wurster-Hill D H', 'Maurer L H']",1978-10-1
"['Lehman J M', 'Robinson C C']",1978-10-1
"['Lasfargues E Y', 'Coutinho W G', 'Redfield E S']",1978-10-1
"['Hu S F', 'Lai M M', 'Vogt P K']",1978-9-1
"['Yang R C', 'Wu R']",1978-9-1
"['Salzman L A', 'Fabisch P', 'Parr R', 'Garon C', 'Wali T']",1978-9-1
"['Roninson I B', 'Naroditskiĭ B S']",1978-9-1
['Lenz W'],1978-8-1
"['Riccardi V M', 'Borges W']",1978-10-1
['Kornblith P L'],1978-1-1
['Hahn S'],1977-1-1
"['Khesin Ia E', 'Amchenkova A M', 'Gulevich N E', 'Narovlianskiĭ A N']",1978-11-1
"['Smiley J R', 'Steege D A', 'Juricek D K', 'Summers W P', 'Ruddle F H']",1978-10-1
"['Mueller C', 'Graessmann A', 'Graessmann M']",1978-10-1
"['Herman R C', 'Adler S', 'Lazzarini R A', 'Colonno R J', 'Banerjee A K', 'Westphal H']",1978-10-1
['Sablina O V'],1978-11-1
"['Temtamy S A', 'McKusick V A']",1978-1-1
"['Paucha E', 'Smith A E']",1978-11-1
"['Camacho A', 'Spear G']",1978-11-1
"['Shank P R', 'Hughes S H', 'Kung H J', 'Majors J E', 'Quintrell N', 'Guntaka R V', 'Bishop J M', 'Varmus H E']",1978-12-1
"['Scott W A', 'Wigmore D J']",1978-12-1
"['Cleve H', 'Patutschnick W', 'Nevo S', 'Wendt G G']",1978-10-31
"['de Groot P G', 'Westerveld A', 'Meera Khan P', 'Tager J M']",1978-11-16
"['Sega G A', 'Owens J G']",1978-10-1
['Astrin S M'],1978-12-1
"['Waldeck W', 'Föhring B', 'Chowdhury K', 'Gruss P', 'Sauer G']",1978-12-1
"['Epstein A L', 'Kaplan H S']",1978-1-1
"['Enquist L W', 'Madden M J', 'Schiop-Stanley P', 'Vande Woude G F']",1979-2-9
"['Begovich A', 'Francke U']",1979-1-1
"['Frecker M', 'Dallaire L', 'Young S R', 'Chen G C', 'Simpson N E']",1978-12-18
"['Tchen P', 'Séger J', 'Bois E', 'Grenand F', 'Fribourg-Blanc A', 'Feingold N']",1978-12-29
"['Israel M A', 'Chan H W', 'Rowe W P', 'Martin M A']",1979-3-2
"['Dosik H', 'Steier W', 'Lubiniecki A']",1979-1-1
